,STATION,LINENAME,LAT,LON,SYSTEM,NET_ENTRIES,CROWD_INDEX
363,JAY ST-METROTEC,R,40.692182,-73.985935,MTA,300294.0,5.358420524804702
364,18 AV,F,40.629881,-73.977149,MTA,298723.0,5.351794727789709
365,225 ST,25,40.887887,-73.860505,MTA,293832.0,5.330941227961527
366,EAST 105 ST,L,40.650625,-73.899558,MTA,288115.0,5.306121396725179
367,DITMAS AV,F,40.63615,-73.978179,MTA,287671.0,5.304173248266967
368,25 ST,R,40.66043,-73.997944,MTA,281294.0,5.275856124053283
369,155 ST,BD,40.829934,-73.938632,MTA,280637.0,5.2729023132815716
370,155 ST,C,40.830551,-73.941486,MTA,279406.0,5.267349187982033
371,PATH WTC 2,1,40.711638,-74.010708,PATH,276864.0,5.255804212249048
372,65 ST,MR,40.749663,-73.898485,MTA,276330.0,5.253365480542031
373,PRESIDENT ST,25,40.667879,-73.950648,MTA,276282.0,5.253146037901244
374,FT HAMILTON PKY,D,40.640872,-73.994229,MTA,275624.0,5.250133995523871
375,4 AV-9 ST,DFGMNR,40.67032,-73.988757,MTA,274924.0,5.24692179107951
376,CYPRESS AV,6,40.805737,-73.914471,MTA,273531.0,5.240505099812939
377,BUHRE AV,6,40.846817,-73.832545,MTA,271753.0,5.232267311358869
378,KNICKERBOCKER,M,40.698666,-73.919685,MTA,271226.0,5.229815269881812
379,74 ST-BROADWAY,7EFMR,40.746655,-73.891361,MTA,270593.0,5.226863722420647
380,20 AV,N,40.617373,-73.985088,MTA,268848.0,5.218691257063632
381,BEVERLEY ROAD,BQ,40.643982,-73.96451,MTA,268318.0,5.216198570984517
382,BRONX PARK EAST,25,40.848797,-73.868465,MTA,267540.0,5.21253056295901
383,FOREST AVE,M,40.704424,-73.903077,MTA,266256.0,5.206453543315594
384,LONGWOOD AV,6,40.816083,-73.89606,MTA,263532.0,5.193463550608268
385,METROPOLITAN AV,M,40.711353,-73.88958,MTA,262826.0,5.190074923136818
386,85 ST-FOREST PK,J,40.692304,-73.860151,MTA,260375.0,5.178239657313209
387,CENTRAL AV,M,40.697673,-73.927131,MTA,258263.0,5.167951630806054
388,75 AV,EF,40.718477,-73.837223,MTA,256637.0,5.159973536108005
389,NEREID AV,25,40.898382,-73.854389,MTA,247977.0,5.11661233214001
390,LIVONIA AV,L,40.663801,-73.900444,MTA,247797.0,5.1156950797102185
391,219 ST,25,40.883767,-73.862736,MTA,244770.0,5.100169326821816
392,SHEPHERD AV,C,40.674161,-73.880761,MTA,244433.0,5.098428959372984
393,BURKE AV,25,40.871387,-73.867135,MTA,244019.0,5.096287653802335
394,BAYCHESTER AV,5,40.878656,-73.838596,MTA,242208.0,5.086877830222917
395,18 AV,N,40.620728,-73.990388,MTA,242137.0,5.086507487662374
396,138/GRAND CONC,45,40.813208,-73.929877,MTA,240807.0,5.079549942117649
397,75 ST-ELDERTS,JZ,40.69132,-73.867135,MTA,238833.0,5.069152313530473
398,VAN SICLEN AVE,C,40.672786,-73.890438,MTA,237997.0,5.064722930424561
399,NORWOOD AV,JZ,40.681598,-73.880074,MTA,235595.0,5.0519092920463295
400,AVENUE H,BQ,40.629164,-73.961678,MTA,233914.0,5.0428639344373325
401,KINGS HWY,N,40.603967,-73.980668,MTA,232535.0,5.035394951642821
402,50 ST,D,40.636232,-73.994765,MTA,231080.0,5.027466159473518
403,PARK PLACE,23ACE,40.713061,-74.008777,MTA,222572.0,4.980079546156169
404,FT HAMILTON PKY,N,40.631428,-74.005387,MTA,222079.0,4.977278450643613
405,CLEVELAND ST,J,40.679938,-73.884687,MTA,217456.0,4.9507050864596875
406,AQUEDUCT N.COND,A,40.668234,-73.834058,MTA,216353.0,4.94428149392996
407,AVENUE X,F,40.589547,-73.974295,MTA,215435.0,4.938910274920405
